"function"	"token"	"count"
"write_gfas_era5_presence_audit"	"missing_flag"	"0"
"write_gfas_era5_presence_audit"	"smoke_missing_flag"	"0"
"write_gfas_era5_presence_audit"	"gfas_pm2p5fire_gdal"	"0"
"write_gfas_era5_presence_audit"	"decoder is available"	"0"
"write_gfas_era5_presence_audit"	"SCIENTIFIC_PRIMARY_REAL"	"0"
"write_gfas_era5_presence_audit"	"v0_gfas_era5_real"	"0"
"write_gfas_era5_decoder_audit"	"gdal.Open"	"0"
"write_gfas_era5_decoder_audit"	"OpenEx"	"0"
"write_gfas_era5_decoder_audit"	"ReadAsArray"	"0"
"write_gfas_era5_decoder_audit"	"GetRasterBand"	"0"
"write_gfas_era5_decoder_audit"	"GRIB"	"0"
"write_gfas_era5_decoder_audit"	"grib"	"5"
"write_gfas_era5_decoder_audit"	"eccodes"	"0"
"write_gfas_era5_decoder_audit"	"cfgrib"	"0"
"write_gfas_era5_decoder_audit"	"read_parquet"	"0"
"write_gfas_era5_decoder_audit"	"pyarrow"	"0"
"write_gfas_era5_decoder_audit"	"fastparquet"	"0"
"write_gfas_era5_decoder_audit"	"ZipFile"	"0"
"write_gfas_era5_decoder_audit"	"namelist"	"0"
"write_gfas_era5_decoder_audit"	"primary_parquet"	"0"
"write_gfas_era5_decoder_audit"	"direct_year"	"0"
"write_gfas_era5_decoder_audit"	"interpolated_from_anchors"	"0"
"write_gfas_era5_decoder_audit"	"extrapolated_from_anchors"	"0"
"write_gfas_era5_decoder_audit"	"missing_flag"	"0"
"write_gfas_era5_decoder_audit"	"smoke_missing_flag"	"0"
"write_gfas_era5_decoder_audit"	"gfas_pm2p5fire_gdal"	"0"
"write_gfas_era5_decoder_audit"	"decoder is available"	"0"
"write_gfas_era5_decoder_audit"	"SCIENTIFIC_PRIMARY_REAL"	"0"
"write_gfas_era5_decoder_audit"	"v0_gfas_era5_real"	"1"
"write_smoke_route_source_trace_audit"	"gdal.Open"	"0"
"write_smoke_route_source_trace_audit"	"OpenEx"	"0"
"write_smoke_route_source_trace_audit"	"ReadAsArray"	"0"
"write_smoke_route_source_trace_audit"	"GetRasterBand"	"0"
"write_smoke_route_source_trace_audit"	"GRIB"	"0"
"write_smoke_route_source_trace_audit"	"grib"	"0"
"write_smoke_route_source_trace_audit"	"eccodes"	"0"
"write_smoke_route_source_trace_audit"	"cfgrib"	"0"
"write_smoke_route_source_trace_audit"	"read_parquet"	"0"
"write_smoke_route_source_trace_audit"	"pyarrow"	"0"
"write_smoke_route_source_trace_audit"	"fastparquet"	"0"
"write_smoke_route_source_trace_audit"	"ZipFile"	"0"
"write_smoke_route_source_trace_audit"	"namelist"	"0"
"write_smoke_route_source_trace_audit"	"primary_parquet"	"0"
"write_smoke_route_source_trace_audit"	"direct_year"	"0"
"write_smoke_route_source_trace_audit"	"interpolated_from_anchors"	"0"
"write_smoke_route_source_trace_audit"	"extrapolated_from_anchors"	"0"
"write_smoke_route_source_trace_audit"	"missing_flag"	"0"
"write_smoke_route_source_trace_audit"	"smoke_missing_flag"	"0"
"write_smoke_route_source_trace_audit"	"gfas_pm2p5fire_gdal"	"0"
"write_smoke_route_source_trace_audit"	"decoder is available"	"0"
"write_smoke_route_source_trace_audit"	"SCIENTIFIC_PRIMARY_REAL"	"0"
"write_smoke_route_source_trace_audit"	"v0_gfas_era5_real"	"0"
"smoke_prepare"	"gdal.Open"	"0"
"smoke_prepare"	"OpenEx"	"0"
"smoke_prepare"	"ReadAsArray"	"0"
"smoke_prepare"	"GetRasterBand"	"0"
"smoke_prepare"	"GRIB"	"0"
"smoke_prepare"	"grib"	"0"
"smoke_prepare"	"eccodes"	"0"
"smoke_prepare"	"cfgrib"	"0"
"smoke_prepare"	"read_parquet"	"0"
"smoke_prepare"	"pyarrow"	"0"
"smoke_prepare"	"fastparquet"	"0"
"smoke_prepare"	"ZipFile"	"0"
"smoke_prepare"	"namelist"	"0"
"smoke_prepare"	"primary_parquet"	"1"
"smoke_prepare"	"direct_year"	"0"
"smoke_prepare"	"interpolated_from_anchors"	"0"
"smoke_prepare"	"extrapolated_from_anchors"	"0"
"smoke_prepare"	"missing_flag"	"2"
"smoke_prepare"	"smoke_missing_flag"	"2"
"smoke_prepare"	"gfas_pm2p5fire_gdal"	"3"
"smoke_prepare"	"decoder is available"	"0"
"smoke_prepare"	"SCIENTIFIC_PRIMARY_REAL"	"0"
"smoke_prepare"	"v0_gfas_era5_real"	"7"
