"key"	"value"
"meta.causal_matrix_decision"	"PENDING_DOWNSTREAM_VALIDATION"
"meta.brief_decision"	"PENDING_DOWNSTREAM_VALIDATION"
"meta.final_scientific_decision"	"PENDING_DOWNSTREAM_GATES"
"meta.required_decoder"	""
"meta.required_inputs"	""
"meta.smoke_route_reason"	"GFAS + ERA5 detected and decoder is available."
"meta.smoke_route_operational_fallback"	""
"meta.smoke_route_allowed_use"	"scientific_route"
"meta.smoke_route_forbidden_use"	""
"meta.smoke_route_detected_sources.modulea_validated"	"False"
"meta.smoke_route_detected_sources.modulea_catalog_path"	""
"meta.smoke_route_detected_sources.gfas_dir"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\CAM-GFAS (ADS)"
"meta.smoke_route_detected_sources.gfas_grib_count"	"11"
"meta.smoke_route_detected_sources.gfas_total_bytes"	"151295670396"
"meta.smoke_route_detected_sources.era5_zip"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ERA5_d016a6f04c5e420341cf0e7293fcfb56.zip"
"meta.smoke_route_detected_sources.era5_exists"	"True"
"meta.smoke_route_detected_sources.parquet_zip_count"	"2"
"meta.smoke_route_detected_sources.parquet_zip_paths[0]"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2017.zip"
"meta.smoke_route_detected_sources.parquet_zip_paths[1]"	"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\ParquetFiles 2022.zip"
