"ComponentType","Name","Path","Exists","RuntimeRole","Classification","Notes"
"PATH_EXPECTED","DATOS_MODC","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos","True","INPUT_DATA","DO_NOT_TOUCH","Datos masivos protegidos."
"PATH_EXPECTED","INC_NEW","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Incendios_Nueva version","True","INPUT_DATA","DO_NOT_TOUCH","Insumo incendios protegido."
"B1_RESTORE","qa\QA_checks.csv","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\03_outputs\qa\QA_checks.csv","True","BASELINE_INPUT","CANON_RUNTIME","Restaurado en B1."
"B1_RESTORE","qa\run_log.txt","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\03_outputs\qa\run_log.txt","True","BASELINE_INPUT","CANON_RUNTIME","Restaurado en B1."
"B1_RESTORE","tables\IECH_scenarios_2026_2030.csv","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\03_outputs\tables\IECH_scenarios_2026_2030.csv","True","BASELINE_INPUT","CANON_RUNTIME","Restaurado en B1."
"B1_RESTORE","tables\IECH_unit_2015_2024.csv","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\03_outputs\tables\IECH_unit_2015_2024.csv","True","BASELINE_INPUT","CANON_RUNTIME","Restaurado en B1."
"B1_RESTORE","tables\pop_unit_2015_2025_2030.csv","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\03_outputs\tables\pop_unit_2015_2025_2030.csv","True","BASELINE_INPUT","CANON_RUNTIME","Restaurado en B1."
"B1_RESTORE","tables\recurrence_unit_2015_2024.csv","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\03_outputs\tables\recurrence_unit_2015_2024.csv","True","BASELINE_INPUT","CANON_RUNTIME","Restaurado en B1."
"REGENERATE","qa\report_auditoria_v2.txt","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\03_outputs\qa\report_auditoria_v2.txt","True","POST_RUNTIME_ARTIFACT","REGENERATE_BY_RUNTIME","No usar como baseline pre-runtime."
"REGENERATE","tables\smoke_days_unit_2015_2024.csv","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\03_outputs\tables\smoke_days_unit_2015_2024.csv","True","POST_RUNTIME_ARTIFACT","REGENERATE_BY_RUNTIME","No usar como baseline pre-runtime."
"REGENERATE","deliverables_step9","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\03_outputs\deliverables_step9","False","POST_RUNTIME_ARTIFACT","REGENERATE_BY_RUNTIME","No usar como baseline pre-runtime."
"REGENERATE","deliverables_step9\final_manifest.json","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\03_outputs\deliverables_step9\final_manifest.json","False","POST_RUNTIME_ARTIFACT","REGENERATE_BY_RUNTIME","No usar como baseline pre-runtime."
"REGENERATE","deliverables_step9\final_sha256_checkpoints.txt","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\03_outputs\deliverables_step9\final_sha256_checkpoints.txt","False","POST_RUNTIME_ARTIFACT","REGENERATE_BY_RUNTIME","No usar como baseline pre-runtime."
"HISTORICAL","03_outputs__BACKUP_20260121_235500","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\03_outputs__BACKUP_20260121_235500","True","HISTORICAL_ONLY","NOT_RUNTIME_TRUTH",""
"HISTORICAL","deliverables_step9 backup","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\03_outputs__BACKUP_20260121_235500\deliverables_step9","True","HISTORICAL_ONLY","NOT_RUNTIME_TRUTH",""
"HISTORICAL","__PIPELINE_MANIFEST.csv","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\__PIPELINE_MANIFEST.csv","True","HISTORICAL_MANIFEST","NOT_RUNTIME_TRUTH",""
"HISTORICAL","__PIPELINE_TOKEN_SCAN.csv","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\__PIPELINE_TOKEN_SCAN.csv","True","HISTORICAL_MANIFEST","NOT_RUNTIME_TRUTH",""
"HISTORICAL","run_pipeline_debug_v5.py","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\_archive_obsolete_20260115_0123\run_pipeline_debug_v5.py","True","OBSOLETE_RUNNER","NOT_RUNTIME_TRUTH",""
