"artifact"	"exists"	"bytes"	"rows"	"columns"	"first_columns"	"path"
"tables\territorial_context_nuts3.csv"	"YES"	"6760"	"26"	"8"	"unit_id,built_up_proxy,forest_proxy,shrubland_proxy,wui_proxy,landcover_source,territorial_context_note,territorial_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\territorial_context_nuts3.csv"
"tables\wrb_context_nuts3.csv"	"YES"	"7414"	"26"	"7"	"unit_id,dominant_wrb_class,dominant_wrb_share,top_wrb_classes,wrb_context_note,wrb_source,wrb_missing_flag"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\wrb_context_nuts3.csv"
"brief\causal_matrix\causal_matrix_IECH_NUTS3.csv"	"YES"	"15708"	"26"	"28"	"unit_id,unit_name,unit_level,IECH_mean_2015_2024,smoke_days_mean_2015_2024,population_2020,population_2030,total_burn_ha_2015_2024,years_area_gt_p75,n_events_gt_1000ha,recurrence_class,IECH_S0_mean_2026_2030,IECH_S1_mean_2026_2030,delta_S1_minus_S0,dominant_wrb_class,dominant_wrb_share,wrb_context_note,built_up_proxy,forest_proxy,shrubland_proxy,wui_proxy,policy_priority,causal_interpretation,missing_components,qa_flag,threshold_gate_status,causal_matrix_scientific_status,smoke_route_context"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\brief\causal_matrix\causal_matrix_IECH_NUTS3.csv"
"brief\causal_matrix\causal_matrix_IECH_municipio.csv"	"YES"	"192323"	"278"	"28"	"unit_id,unit_name,unit_level,IECH_mean_2015_2024,smoke_days_mean_2015_2024,population_2020,population_2030,total_burn_ha_2015_2024,years_area_gt_p75,n_events_gt_1000ha,recurrence_class,IECH_S0_mean_2026_2030,IECH_S1_mean_2026_2030,delta_S1_minus_S0,dominant_wrb_class,dominant_wrb_share,wrb_context_note,built_up_proxy,forest_proxy,shrubland_proxy,wui_proxy,policy_priority,causal_interpretation,missing_components,qa_flag,threshold_gate_status,causal_matrix_scientific_status,smoke_route_context"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\brief\causal_matrix\causal_matrix_IECH_municipio.csv"
"brief\causal_matrix\causal_matrix_audit.tsv"	"YES"	"297"	"5"	"4"	"metric,value,status,note"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\brief\causal_matrix\causal_matrix_audit.tsv"
"brief\causal_matrix\causal_matrix_IECH_NUTS3.json"	"YES"	"37161"	"0"	"0"	""	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\brief\causal_matrix\causal_matrix_IECH_NUTS3.json"
"brief\causal_matrix\causal_matrix_IECH_NUTS3.txt"	"YES"	"1800"	"0"	"0"	""	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\brief\causal_matrix\causal_matrix_IECH_NUTS3.txt"
"brief\Brief_Politica_IECH_2030.md"	"YES"	"4629"	"0"	"0"	""	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\brief\Brief_Politica_IECH_2030.md"
"deliverables_step9\final_manifest.json"	"YES"	"11023"	"0"	"0"	""	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\deliverables_step9\final_manifest.json"
"deliverables_step9\final_sha256_checkpoints.txt"	"YES"	"3334"	"0"	"0"	""	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\deliverables_step9\final_sha256_checkpoints.txt"
"deliverables_step9\ModuleC_ALL_FINAL_deliverables.zip"	"YES"	"120243"	"0"	"0"	""	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\deliverables_step9\ModuleC_ALL_FINAL_deliverables.zip"
"deliverables_step9\runtime_closure_decision.md"	"YES"	"357"	"0"	"0"	""	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\deliverables_step9\runtime_closure_decision.md"
"deliverables_step9\runtime_scientific_closure_decision.md"	"YES"	"783"	"0"	"0"	""	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\deliverables_step9\runtime_scientific_closure_decision.md"
