"file"	"rel_file"	"line"	"block"	"token"	"text"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"837"	"def admin_prepare"	"2024"	"write_layer_to_gpkg(layer, gpkg_path, ""admin_nuts3_2024"", report)"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"844"	"def _collect_primary_smoke_anchors"	"parquet"	"parquet_zips = [modulec_datos / ""ParquetFiles 2017.zip"", modulec_datos / ""ParquetFiles 2022.zip""]"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"845"	"def _collect_primary_smoke_anchors"	"parquet"	"parquet_zips = [p for p in parquet_zips if p.exists()]"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"846"	"def _collect_primary_smoke_anchors"	"parquet"	"if not parquet_zips:"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"847"	"def _collect_primary_smoke_anchors"	"parquet"	"report.fail(f""Primary smoke source missing. Expected parquet zips in: {modulec_datos}"")"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"851"	"def _collect_primary_smoke_anchors"	"parquet"	"for zpath in parquet_zips:"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"852"	"def _collect_primary_smoke_anchors"	"zipfile"	"with zipfile.ZipFile(zpath, ""r"") as zf:"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"852"	"def _collect_primary_smoke_anchors"	"ZipFile"	"with zipfile.ZipFile(zpath, ""r"") as zf:"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"853"	"def _collect_primary_smoke_anchors"	"parquet"	"entries = [n for n in zf.namelist() if n.lower().endswith("".parquet"")]"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"855"	"def _collect_primary_smoke_anchors"	"parquet"	"report.fail(f""Primary smoke parquet zip has no parquet entries: {zpath}"")"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"862"	"def _collect_primary_smoke_anchors"	"parquet"	"report.fail(f""Cannot open primary smoke parquet: {vpath}"")"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"865"	"def _collect_primary_smoke_anchors"	"parquet"	"report.fail(f""Primary smoke parquet has no layer: {vpath}"")"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"881"	"def _collect_primary_smoke_anchors"	"parquet"	"report.fail(""Primary smoke parquet contains no usable day-level records for 2015-2024."")"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"881"	"def _collect_primary_smoke_anchors"	"2024"	"report.fail(""Primary smoke parquet contains no usable day-level records for 2015-2024."")"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"895"	"def _collect_primary_smoke_anchors"	"parquet"	"report.fail(""Primary smoke parquet has total absence of smoke signal (all days <= 0)."")"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"906"	"def _collect_primary_smoke_anchors"	"parquet"	"report.log(f""Primary smoke anchors built from parquet: {anchor_txt}"")"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"923"	"def _fill_smoke_year_series"	"parquet"	"methods[y] = ""primary_parquet_direct_year"" if y == y0 else ""primary_parquet_flat_single_anchor"""
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"929"	"def _fill_smoke_year_series"	"parquet"	"methods[y] = ""primary_parquet_direct_year"""
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"934"	"def _fill_smoke_year_series"	"parquet"	"method = ""primary_parquet_extrapolated_from_anchors"""
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"937"	"def _fill_smoke_year_series"	"parquet"	"method = ""primary_parquet_extrapolated_from_anchors"""
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"945"	"def _fill_smoke_year_series"	"parquet"	"method = ""primary_parquet_interpolated_from_anchors"""
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1067"	"def _derive_unit_anchor_scores_from_xyz"	"gfas"	"report.log(f""GFAS XYZ unit anchor extraction complete: units_with_anchor={sampled_units}"")"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1067"	"def _derive_unit_anchor_scores_from_xyz"	"GFAS"	"report.log(f""GFAS XYZ unit anchor extraction complete: units_with_anchor={sampled_units}"")"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1172"	"def write_spatial_collapse_root_cause_audit"	"gfas"	"gfas_daily_summary_csv: Path,"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1172"	"def write_spatial_collapse_root_cause_audit"	"GFAS"	"gfas_daily_summary_csv: Path,"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1187"	"def add_row"	"gfas"	"gfas_global_summary: Optional[bool] = None"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1187"	"def add_row"	"GFAS"	"gfas_global_summary: Optional[bool] = None"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1265"	"def add_row"	"gfas"	"if gfas_daily_summary_csv.exists():"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1265"	"def add_row"	"GFAS"	"if gfas_daily_summary_csv.exists():"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1266"	"def add_row"	"gfas"	"hdr, gfas_rows, _delim = read_csv_rows(gfas_daily_summary_csv)"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1266"	"def add_row"	"GFAS"	"hdr, gfas_rows, _delim = read_csv_rows(gfas_daily_summary_csv)"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1267"	"def add_row"	"gfas"	"add_row(gfas_daily_summary_csv.name, ""rows"", len(gfas_rows), ""row_count"", ""READ"")"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1267"	"def add_row"	"GFAS"	"add_row(gfas_daily_summary_csv.name, ""rows"", len(gfas_rows), ""row_count"", ""READ"")"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1271"	"def add_row"	"gfas"	"gfas_global_summary = not has_unit_id"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1271"	"def add_row"	"GFAS"	"gfas_global_summary = not has_unit_id"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1273"	"def add_row"	"gfas"	"gfas_daily_summary_csv.name,"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1273"	"def add_row"	"GFAS"	"gfas_daily_summary_csv.name,"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1275"	"def add_row"	"gfas"	"1 if gfas_global_summary else 0,"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1275"	"def add_row"	"GFAS"	"1 if gfas_global_summary else 0,"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1277"	"def add_row"	"gfas"	"""GLOBAL_ONLY"" if gfas_global_summary else ""UNIT_LEVEL"","
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1277"	"def add_row"	"GFAS"	"""GLOBAL_ONLY"" if gfas_global_summary else ""UNIT_LEVEL"","
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1280"	"def add_row"	"gfas"	"gfas_daily_summary_csv.name,"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1280"	"def add_row"	"GFAS"	"gfas_daily_summary_csv.name,"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1287"	"def add_row"	"gfas"	"missing_inputs.append(str(gfas_daily_summary_csv))"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1287"	"def add_row"	"GFAS"	"missing_inputs.append(str(gfas_daily_summary_csv))"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1288"	"def add_row"	"gfas"	"add_row(gfas_daily_summary_csv.name, ""exists"", 0, ""missing file"", ""FAIL"")"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1288"	"def add_row"	"GFAS"	"add_row(gfas_daily_summary_csv.name, ""exists"", 0, ""missing file"", ""FAIL"")"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1333"	"def add_row"	"gfas"	"elif daily_homogeneous and annual_homogeneous and gfas_global_summary and iech_collapsed:"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1333"	"def add_row"	"GFAS"	"elif daily_homogeneous and annual_homogeneous and gfas_global_summary and iech_collapsed:"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1335"	"def add_row"	"gfas"	"elif daily_homogeneous and gfas_global_summary:"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1335"	"def add_row"	"GFAS"	"elif daily_homogeneous and gfas_global_summary:"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1336"	"def add_row"	"gdal"	"decision = ""COLLAPSE_ORIGIN_GDAL_PORTUGAL_SUMMARY"""
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1375"	"def write_smoke_route_source_trace_audit"	"inputs_resolved"	"[""TRACE-001"", ""PASS"" if str(sources.get(""smoke_csv_input"", """")) else ""HOLD"", str(sources.get(""smoke_csv_input"", """")), ""inputs_resolved.paths.smoke_csv""],"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1377"	"def write_smoke_route_source_trace_audit"	"gfas"	"[""TRACE-003"", ""PASS"" if bool(sources.get(""gfas_exists"")) else ""HOLD"", str(bool(sources.get(""gfas_exists""))), ""GFAS directory physical presence""],"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1377"	"def write_smoke_route_source_trace_audit"	"GFAS"	"[""TRACE-003"", ""PASS"" if bool(sources.get(""gfas_exists"")) else ""HOLD"", str(bool(sources.get(""gfas_exists""))), ""GFAS directory physical presence""],"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1378"	"def write_smoke_route_source_trace_audit"	"era5"	"[""TRACE-004"", ""PASS"" if bool(sources.get(""era5_exists"")) else ""HOLD"", str(bool(sources.get(""era5_exists""))), ""ERA5 zip physical presence""],"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1378"	"def write_smoke_route_source_trace_audit"	"ERA5"	"[""TRACE-004"", ""PASS"" if bool(sources.get(""era5_exists"")) else ""HOLD"", str(bool(sources.get(""era5_exists""))), ""ERA5 zip physical presence""],"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1379"	"def write_smoke_route_source_trace_audit"	"inputs_resolved"	"[""TRACE-005"", ""PASS"" if ""gfas"" in payload else ""HOLD"", str(""gfas"" in payload), ""inputs_resolved contains GFAS trace tokens""],"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1379"	"def write_smoke_route_source_trace_audit"	"gfas"	"[""TRACE-005"", ""PASS"" if ""gfas"" in payload else ""HOLD"", str(""gfas"" in payload), ""inputs_resolved contains GFAS trace tokens""],"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1379"	"def write_smoke_route_source_trace_audit"	"GFAS"	"[""TRACE-005"", ""PASS"" if ""gfas"" in payload else ""HOLD"", str(""gfas"" in payload), ""inputs_resolved contains GFAS trace tokens""],"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1380"	"def write_smoke_route_source_trace_audit"	"inputs_resolved"	"[""TRACE-006"", ""PASS"" if ""era5"" in payload else ""HOLD"", str(""era5"" in payload), ""inputs_resolved contains ERA5 trace tokens""],"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1380"	"def write_smoke_route_source_trace_audit"	"era5"	"[""TRACE-006"", ""PASS"" if ""era5"" in payload else ""HOLD"", str(""era5"" in payload), ""inputs_resolved contains ERA5 trace tokens""],"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1380"	"def write_smoke_route_source_trace_audit"	"ERA5"	"[""TRACE-006"", ""PASS"" if ""era5"" in payload else ""HOLD"", str(""era5"" in payload), ""inputs_resolved contains ERA5 trace tokens""],"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1387"	"def write_gfas_era5_presence_audit"	"gfas"	"def write_gfas_era5_presence_audit(qa_dir: Path, sources: Dict[str, object]) -> None:"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1387"	"def write_gfas_era5_presence_audit"	"GFAS"	"def write_gfas_era5_presence_audit(qa_dir: Path, sources: Dict[str, object]) -> None:"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1387"	"def write_gfas_era5_presence_audit"	"era5"	"def write_gfas_era5_presence_audit(qa_dir: Path, sources: Dict[str, object]) -> None:"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1387"	"def write_gfas_era5_presence_audit"	"ERA5"	"def write_gfas_era5_presence_audit(qa_dir: Path, sources: Dict[str, object]) -> None:"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1389"	"def write_gfas_era5_presence_audit"	"gfas"	"out_tsv = qa_dir / ""gfas_era5_presence_audit.tsv"""
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1389"	"def write_gfas_era5_presence_audit"	"GFAS"	"out_tsv = qa_dir / ""gfas_era5_presence_audit.tsv"""
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1389"	"def write_gfas_era5_presence_audit"	"era5"	"out_tsv = qa_dir / ""gfas_era5_presence_audit.tsv"""
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1389"	"def write_gfas_era5_presence_audit"	"ERA5"	"out_tsv = qa_dir / ""gfas_era5_presence_audit.tsv"""
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"pipeline\moduleC_pipeline_v2.py"	"1391"	"def write_gfas_era5_presence_audit"	"gfas"	"[""PRES-001"", ""PASS"" if bool(sources.get(""gfas_exists"")) else ""HOLD"", str(sources.get(""gfas_dir"", """")), ""GFAS directory path""],"
