"file"	"rel_file"	"line"	"token"	"text"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"	"qa\smoke_route_audit.tsv"	"2"	"ERA5"	"2015	4	gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"	"qa\smoke_route_audit.tsv"	"3"	"v0_gfas_era5_real"	"2016	4	gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"	"qa\smoke_route_audit.tsv"	"3"	"SCIENTIFIC_PRIMARY_REAL"	"2016	4	gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"	"qa\smoke_route_audit.tsv"	"3"	"GFAS"	"2016	4	gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"	"qa\smoke_route_audit.tsv"	"3"	"ERA5"	"2016	4	gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"	"qa\smoke_route_audit.tsv"	"4"	"v0_gfas_era5_real"	"2017	4	gfas_pm2p5fire_gdal_unit_direct_year	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"	"qa\smoke_route_audit.tsv"	"4"	"SCIENTIFIC_PRIMARY_REAL"	"2017	4	gfas_pm2p5fire_gdal_unit_direct_year	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"	"qa\smoke_route_audit.tsv"	"4"	"GFAS"	"2017	4	gfas_pm2p5fire_gdal_unit_direct_year	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"	"qa\smoke_route_audit.tsv"	"4"	"ERA5"	"2017	4	gfas_pm2p5fire_gdal_unit_direct_year	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"	"qa\smoke_route_audit.tsv"	"5"	"v0_gfas_era5_real"	"2018	4	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"	"qa\smoke_route_audit.tsv"	"5"	"SCIENTIFIC_PRIMARY_REAL"	"2018	4	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"	"qa\smoke_route_audit.tsv"	"5"	"GFAS"	"2018	4	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"	"qa\smoke_route_audit.tsv"	"5"	"ERA5"	"2018	4	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"	"qa\smoke_route_audit.tsv"	"6"	"v0_gfas_era5_real"	"2019	4	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"	"qa\smoke_route_audit.tsv"	"6"	"SCIENTIFIC_PRIMARY_REAL"	"2019	4	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"	"qa\smoke_route_audit.tsv"	"6"	"GFAS"	"2019	4	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"	"qa\smoke_route_audit.tsv"	"6"	"ERA5"	"2019	4	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\qa\smoke_route_audit.tsv"	"qa\smoke_route_audit.tsv"	"7"	"v0_gfas_era5_real"	"2020	4	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
